num_obs,num_females,num_males,p_alive,p_alive_females,p_alive_males,mortality_HRs(F:M),at_risk_females,at_risk_males,mean_U_at_risk_females,mean_U_at_risk_males,inc_cases_females,inc_cases_males,dem_cases_females,dem_cases_males,PY_females,PY_males,dem_prob_females,dem_prob_males,sim_rates,sim_rates_females,sim_rates_males,IRRs(F:M),dem_HRs(F:M)
NA,NA,NA,0.6753921344495692,0.7719757085692504,0.5748607660945523,0.4502796093579203,41841.03,34044.52,-0.045734454777435304,-0.045212338908465564,1470.38,1082.58,3234.15,2513.89,196975.93859558282,150607.54996080897,0.07416890492973595,0.07086221911315092,7.344839999999997,7.464780000000004,7.18813,1.038528766604771,0.9998984792124124
NA,NA,NA,0.5220368748524049,0.6448002598222378,0.394255898308567,0.47732711646508585,36221.15,25914.47,-0.08770296985999725,-0.08713927254922785,2712.02,1688.36,5736.51,3851.19,162082.42719636176,105707.9504461978,0.14616939551973052,0.137164888836784,16.43221,16.73249,15.972270000000002,1.047705466319084,0.9985787721656396
NA,NA,NA,0.3475895904813286,0.47023791501843637,0.21992848893786388,0.5408250893011839,27674.08,16259.55,-0.16639384391825035,-0.16635876159889437,3604.16,1772.05,8710.4,4768.7,113272.86366956042,58993.598988399215,0.2657186968951503,0.2476438818520029,31.208810000000003,31.818300000000004,30.03743999999999,1.0593769122068066,0.9974587641232402
NA,NA,NA,0.18359352770157103,0.2725232841473213,0.09102924471104845,0.6187043576133444,16920.69,7597.91,-0.2677895322255522,-0.26874971233611883,2983.83,1102.64,9969.07,4246.45,59975.44286716347,23409.13462625097,0.4170108404527773,0.39532313014485354,49.00847000000001,49.75177999999999,47.10910999999998,1.0563578195377776,0.9979861917884137
NA,NA,NA,0.061785449014254014,0.0995632559876664,0.022464185876798125,0.7186991508963759,7389.97,2368.82,-0.3846919448213637,-0.38391021542674486,1423.21,370.51,7887.76,2447.73,20769.95344381867,5760.914606711925,0.5693298365653532,0.5505538681060765,67.61137000000001,68.52697000000002,64.32643999999999,1.0665551551037273,1.009188843608586
99683.23,50859.5,48823.73,0.9734117930022761,0.979423446091921,0.9671497188867026,0.622331778273519,50859.5,48823.73,5.819592678441549e-4,-1.133166054954365e-4,278.43,266.57,278.43,266.57,251462.66897263043,239881.88069690467,0.005474453316433671,0.005459988974229534,1.1092299999999995,1.1072599999999997,1.1113300000000002,0.995799266090978,0.991478376916183
NA,NA,NA,0.9339595124526159,0.9516587862644401,0.9155225746853128,0.524110848140847,49535.61,46954.76,-0.002969894065956567,-0.0037198787756059053,382.44,356.55,659.81,621.64,243844.31070567644,228164.10794380456,0.013245868374802388,0.013165038292849113,1.5656200000000007,1.5683700000000005,1.5627299999999997,1.003284350368781,0.9943881205902151
NA,NA,NA,0.8765991173071059,0.9131915005910778,0.8384809766039214,0.4692837196485583,47750.57,44095.06,-0.011124407123084181,-0.011774510664224982,475.76,425.04,1126.07,1029.2,233511.15385612543,210699.07029668853,0.023265549298764537,0.023025089227029675,2.027860000000001,2.03741,2.01725,1.0103467066498246,0.9945284371156881
NA,NA,NA,0.793372881348408,0.857533380634242,0.7265366129392905,0.4387551637589751,45348.52,39964.78,-0.0239084484447021,-0.024684674149350428,742.3,609.27,1838.22,1582.28,219098.97601858366,185617.60698974022,0.03957884886864605,0.03865109652383665,3.33954,3.3880100000000004,3.2824199999999992,1.0327318694803553,1.0060798184431907
NA,NA,NA,0.6756463470296713,0.7721903366399633,0.575076587568654,0.448412078746505,41850.74,34035.86,-0.04527051899929175,-0.04579499710754138,1476.03,1086.15,3239,2522.55,197071.67854695435,150600.16619011638,0.07426552629671665,0.07111312336668058,7.369590000000004,7.489780000000004,7.212020000000001,1.0386753694857802,0.9998072598638451
